ID,T1,T2,S1,S2,n. implicit term,Sentence,Author,ref page or link,source,long context
178,mind,advice,<sea>,<boat>,2,"When the mind is in a calm, our advice may sail over it with ease; but in a raging tempest the best admonitions run upon a desperate rock.","— Tubbe, Henry (1618-1655)",https://metaphors.iath.virginia.edu/metaphors/9384,metaphors of mind,"That mans wisdom is meere folly that reproves another in his wrath. Good counsel is then unseasonable and therefore unreasonable; but when his anger is past he will be more apt to understand his fault, and more ready to mend it. When the minde is in a calme, our advice may saile over it with ease; but in a raging tempest the best admonitions run upon a desperate rock, and their labour is but cast away. Phisicians are not wont to administer in the height of a Feavor: nor will any wise man apply physick to the soul in a distempered fit of madnesse."
179,mind,<anger>,<location>,tempest,2,"He finds no Tempest in his Mind,  
Fears no Billow, feels no Wind: 
All is serene, and quiet there.","— Flatman, Thomas (1635-1688)",https://metaphors.iath.virginia.edu/metaphors/9843,metaphors of mind,"Peaceful is he, and most secure,
Whose heart, and actions all are pure;
How smooth and pleasant is his way.
Whilst Life's Meander slides away
If a fierce Thunderbolt do flie,
This Man can unconcerned lie;
Knows 'tis not levell'd at his head,
So neither noise, nor flash can dread:
Though a swift Whirlwind tear in sunder
Heav'n above him, or Earth under;
Though the Rocks on Heaps do tumble,
Or the World to Ashes crumble,
Though the stupendious Mountains from on high
Drop down, and in their humble Vallies lie;
Should the unruly Ocean roar,
And dash its Foam against the Shore;
He finds no Tempest in his Mind,
Fears no Billow, feels no Wind:
All is serene, and quiet there,
There's not one blast of troubled Air,
Old Stars may fall, or new ones blaze,
Yet none of these his Soul amaze;
Such is the man can smile at irksome death,
And with an easie sigh give up his breath."
180,memories,<mind subspace>,<objects><living things>,room,2,"For a long time I locked the memories away in a room in my mind. I would sometimes touch the door, to make sure it was secure.","— Armeni, Damon T.",https://metaphors.iath.virginia.edu/metaphors/23847,metaphors of mind,"Though it's hard for me to admit it, I've suffered from PTSD for several years. For a long time I locked the memories away in a room in my mind. I would sometimes touch the door, to make sure it was secure. It was always cold and whenever I opened it to toss in another memory, a biting wind would come roaring out. A wind that stank of diesel fuel, spent gunpowder, sand and death and carried with it my screams of pain, the voices of my soldiers struggling to save my life, and the beeps of a hospital.

I'd wrestle the door shut, lock it, have a strong drink (or five) and get on with my life. I had a wife to love, a family to raise, and soldiers to lead -- I didn't have time to deal with it. Then I got cocky. I thought I had it under control. In 2011, I went to graduate school. I had, for the first time, no pending deployment and no soldiers to train. I quit checking on the door, and so I missed it when the locks began weakening.

After graduation, I requested an opportunity to deploy again and was told I'd be going to Saudi Arabia. I thought, ""perfect -- not a combat deployment, but a chance to get back into the swing of things.""

But about two months before it was time to go, the door in my mind broke down, and PTSD came for me. It was a beautiful day. I was heading to meet my wife and kids for a handoff. On I-95, just before Fredericksburg, Va., the acrid smell of rocket propellant filled my nose. I could hear my soldiers telling me I'd be O.K., could feel my stomach tearing open again. I couldn't feel my feet, my hands were numb -- I couldn't breathe. Drenched in sweat, I managed to get my car off the road and call for help. First my wife, then an ambulance."
181,stomach,<disorder>,<location>,tempest,2,Oh what a Tempest have I in my Stomach?,"D'Urfey, Thomas (1653?-1723)",https://metaphors.iath.virginia.edu/metaphors/9849,metaphors of mind,"FRUG.
Oh what a Tempest have I in my Stomach?
My Guts are grumbling a kind of Tune,

Like the Base Pipes of an Organ: I am starv'd into a Substance so thin, that my Body is transparent; you may see my heart, and the appurtenances, hang up here in its mortal Closet, as easily as a Candle in a Lanthorn."
182,brain,<constrained activity>,<animal>,cage,2,"why, why, why did I have to spend hours doing this? In the red glare of the digital clock, my brain rattled its cage. I prepared for a wave of lunacy.","Kennedy, Pagan (b. 1963)",https://metaphors.iath.virginia.edu/metaphors/24969,metaphors of mind,"One night, I was in the Qs, trying to figure out what to add to quesadillas, queer theory and Questlove. Then, suddenly, the game infuriated me -- why, why, why did I have to spend hours doing this? In the red glare of the digital clock, my brain rattled its cage. I prepared for a wave of lunacy.
Categories"
183,brain,sensation,<bird of prey>,<prey>,2,"But I didn't want to linger, nor could I perhaps, for the sensation lasted only a few moments, then my brain sank its claws into it and I went back to the kitchen where everything was as I had left it, except for the color of the drinks, which were shiny and full of small, grayish bubbles now.","Knausgaard, Karl Ove (b. 1968)",https://metaphors.iath.virginia.edu/metaphors/24786,metaphors of mind,"I put it on the table and left the room to go downstairs to the toilet. The darkened rooms lay around me, large and empty. But with the flame of alcohol burning in my brain I took no notice of the atmosphere that otherwise would have affected me, for although I wasn't outright happy, I was elated, exhilarated, motivated by the desire to continue this, which not even a direct reminder of Dad's death could shake, it was just a pale shadow, present but of no consequence, because life had taken its place, all the images, voices, and actions that drinking alcohol conjured up at the drop of a hat and gave me the illusion that I was somewhere surrounded by a lot of people and merriment. I knew it wasn't true, but that was how it felt, and it was feeling that was leading me, also when I stepped on the stained wall-to-wall carpeting on the ground floor, illuminated by the dim light seeping in through the front door pane, and entered the bathroom that hissed and whistled as it had done for at least thirty years. On my way out I heard their voices above and hurried upstairs. In the living room, I took a few steps inside to see the place where he had died while I was in a different, a more carefree frame of mind. I was given a sudden sensation of who he had been. I didn't see him, it wasn't like that, but I could sense him, the whole of his being, the way he had been during his final days in these rooms. It was uncanny. But I didn't want to linger, nor could I perhaps, for the sensation lasted only a few moments, then my brain sank its claws into it and I went back to the kitchen where everything was as I had left it, except for the color of the drinks, which were shiny and full of small, grayish bubbles now."
184,swing of the pendulum,myth,bull,cobweb,0,"The swing of the pendulum has finally shattered the myth, like a bull through a cobweb.",Anon.,,other,
185,wits,man,pins,hedgehog,0,"If wits were pins, the man would be a veritable hedgehog.","Fly by Night, Frances Hardinge",,other,
186,you,I,thunder,lightning,0,You are the thunder and I am the lightning.,"Selena Gomez, Antonina Armato, Tim James, Devrim Karaoglu",https://prowritingaid.com/metaphor-examples,other,
187,you,my life,sunshine,my life,0,You are the sunshine of my life.,Stevie Wonder,https://prowritingaid.com/metaphor-examples,other,
188,justice,opportunity,bank,funds,0,But we refuse to believe that the bank of justice is bankrupt. We refuse to believe that there are insufficient funds in the great vaults of opportunity of this nation.,Dr. Martin Luther King Jr.,https://prowritingaid.com/metaphor-examples,other,
189,monetarism,economics,christian science,medecine,0,Monetarism is to economics what christian science is to medicine.,,,other,
190,I,shuttered room ,pumpkin,serra,0,In a shuttered room I roast Like a pumpkin in a serra,Dylan Thomas,,other,
191,woman after twenty years of romance,woman after twenty years of marriage,ruin,public building,0,Twenty years of romance make a woman look like a ruin; but twenty years of marriage make her something like a public puilding.,Oscar Wilde,,other,
192,marxist analysis,Stalin's Russia,Jesus Christ,Inquisition in Spain,0,The Marxist analysis has got nothing to do with what happened in Stalin's Russia; it's like blaming Jesus Christ for the Inquisition in Spain.,Tony Benn,,other,
193,sharp mind,illusion,bread knife,a hunk of frozen fish,0,"Her sharp mind, sawing raggedly through illusion like a bread knife through a hunk of frozen fish.",Fay Weldon,,other,
194,great nations,small nations,gangsters,prostitutes,0,The great nations have always acted like gangsters and the small nations like prostitutes.,Stanley Kubrick,,other,
195,woman,man,goldfish,motorbike,0,A woman needs a man like a goldfish needs a motorbike.,Anon.,,other,
196,sun,<location>,toddler,bed,1,The sun was a toddler insistently refusing to go to bed: It was past eight-thirty and still light.,John Green,,other,
197,"religions, arts sciences",<knowledge>,branches,tree,1,"All religions, arts and sciences are branches of the same tree.",Albert Einstein,https://prowritingaid.com/metaphor-examples,other,
198,photographer,<photos>,cod,eggs,1,"The photographer is like the cod, which produces a million eggs in order that one may reach maturity.",,,other,
199,vice-presidency,<opportunity>,cookie,plate,1,"The vice-presidency is sort of like the last cookie on the plate. Everybody insists he won't take it, but somebody always does.",Bill Vanghan,,other,
200,volume of verse,<public space>,a rose petal,the Grand Canyon,1,Publishing a volume of verse is like dropping a rose petal down the Grand Canyon and waiting for the echo.,Don Marquis,,other,
201,<man>/<head>,ears,taxicab,open doors,1,His ears make him look like a taxicab with both doors open.,Howard Hughes of Clark Gable,,other,
202,<man>/<head>,ears,Greek amphora,handles,1,His ears are like the handles of a Greek amphora.,P. G. Wodehouse,,other,
203,monarchy,<revolution>,ship,rock,1,"Monarchy is like a splendid ship with all sails set; it moves majestically on, then it hits a rock and sink forever.",Fisher Ames,,other,
